;;ICAS Method;;;LRGP Method;;
num;SMILES;Tc[k];Pc[bar];omega[-];Tc[k];Pc[bar];omega[-]
1;OCCCCCCCC;645.4;27.21;0.78;652.11;27.85;0.57
2;OC1(C)CCC(CC1)C(C)=C;663.3;28.46;0.683;666.18;29.72;0.70
3;OCC(CC1)CCC1C;672.07;32.84;0.616;646.30;32.40;0.63
4;Clc1ccc(cc1)N(=O)=O;753.79;39.45;0.501;750.89;38.30;0.49
5;Nc1ccc(cc1)N(=O)=O;790.73;44.02;0.63;848.57;43.51;0.75
6;Oc1ccc(cc1)N(=O)=O;784.06;51.62;0.694;838.27;47.44;0.76
7;COc1ccc(C(C)=O)cc1;742.99;33.15;0.596;771.33;35.82;0.56
8;COc1ccc(C(O)=O)cc1;779.26;37.08;0.783;813.48;35.72;0.77
9;CN(C)c1ccc(C=O)cc1;762.55;32.41;0.626;832.08;30.72;0.53
10;CCc1ccc(cc1)N(=O)=O;744.24;32.69;0.541;737.62;31.10;0.54
11;CNc1ccc(cc1)N(=O)=O;790.3;40.65;0.659;799.95;34.03;0.69
12;NNc1ccc(cc1)N(=O)=O;811.93;49.38;0.815;841.24;41.98;0.84
13;COc1ccc(cc1)N(=O)=O;751.15;36.66;0.571;756.12;31.21;0.63
14;CC(C)c1ccc(C(C)C)cc1;686.08;24.3;0.433;683.36;24.46;0.38
15;CC(=O)c1ccc(cc1)N(=O)=O;798.29;34.75;0.681;764.80;29.10;0.65
16;ClC(=O)c1ccc(C(Cl)=O)cc1;824.54;38.13;0.675;755.77;38.19;0.67
17;OC(=O)c1ccc(C(O)=O)cc1;847.86;39.51;1.088;883.33;34.87;0.95
18;CN(C)c1ccc(N(C)C)cc1;761.48;28.38;0.543;775.79;29.56;0.57
19;CN(C)c1ccc(cc1)N(=O)=O;784.12;32.77;0.606;763.11;26.90;0.59
20;O=N(=O)c1ccc(cc1)N(=O)=O;804.74;38.59;0.717;762.60;36.35;0.58
21;OC(=O)c1ccc(C(O)=O)cn1;859.28;44.26;1.214;873.82;38.51;0.95
22;O=C=Nc1ccc(cc1)N(=O)=O;761.51;36.21;0.688;800.01;32.46;0.51
23;NCCN(CC)CC;648.36;28.19;0.466;613.24;33.68;0.48
24;OCCN(CC)CC;624.43;28.89;0.719;631.61;35.52;0.59
25;C=CC1CC=CCC1;603.87;34.95;0.241;604.89;35.30;0.29
26;CCc1ccccc1;623.41;36.17;0.3;619.05;36.27;0.31
27;C=Cc1ccccc1;640.47;38.29;0.298;599.72;32.88;0.29
28;C=Cc1ccncc1;676.89;42;0.314;660.64;45.27;0.32
29;ClCc1ccccc1;686;39.1;0.302;685.70;39.24;0.32
30;NCc1ccccc1;683.5;43.2;0.413;688.62;43.17;0.44
31;N#Cc1ccccc1;699.35;42.15;0.406;708.55;42.30;0.34
32;N#Cc1ccncc1;728.07;46.57;0.455;693.51;46.48;0.40
33;OCC1CCCCC1;661.09;38.32;0.593;673.03;38.46;0.48
34;O=CC1CC=CCC1;643.87;40.48;0.405;662.15;39.59;0.36
35;O=Cc1ccccc1;688.62;42.74;0.463;689.14;46.47;0.31
36;SCc1ccccc1;712;40.6;0.312;717.76;40.60;0.31
37;N#Cc1cccnc1;727.26;43.77;0.455;712.15;41.20;0.42
38;OCc1cccnc1;691.77;46.38;0.769;702.40;50.39;0.69
39;CNC1CCCCC1;592.74;41.69;0.414;627.40;34.90;0.38
40;NNc1ccccc1;728.23;56.8;0.525;762.30;49.78;0.53
41;ON=C1CCCCC1;744.08;39.46;0.722;708.34;46.92;0.56
42;ONc1ccccc1;732.91;61.43;0.841;768.79;52.93;0.67
43;COc1ccccc1;634.95;40.98;0.333;644.35;42.44;0.35
44;CSc1ccccc1;700.07;42.4;0.31;713.38;42.04;0.31
45;C=Cc1ccccn1;655.02;39.65;0.314;646.36;43.27;0.27
46;N#Cc1ccccn1;710.71;43.77;0.455;703.80;42.40;0.44
47;CCc1ccccn1;639.03;37.4;0.338;630.09;41.92;0.30
48;OCC1CCCCO1;672.21;42.46;0.721;670.83;42.02;0.59
49;CCN1CCOCC1;665.01;37.15;0.287;612.62;36.38;0.34
50;O=NN1CCCCC1;721.92;50.48;0.623;749.11;40.07;0.47
51;C(C1)N2CCC1CC2;652.16;38.74;0.142;649.49;36.87;0.17
52;OCC(CO1)OC1(C)C;680.64;37.36;0.78;654.06;38.36;0.65
53;Cc1cc(C=C)ccc1;659.36;33.29;0.352;656.89;32.48;0.35
54;NCc(ccc1)cc1C;699.29;37.07;0.462;681.23;36.20;0.50
55;NCc(ccc1)cc1F;676.74;39.6;0.472;685.64;40.02;0.49
56;Oc1cc(C=O)ccc1;761.2;50.03;0.634;774.15;48.27;0.62
57;COc(ccc1)cc1C;654.28;35.37;0.387;656.64;35.43;0.39
58;OC(C)(C)Cc1ccccc1;696.14;31.07;0.789;699.77;29.84;0.74
59;OS(=O)(=O)NC1CCCCC1;821.87;46.03;0.789;819.12;39.19;0.63
60;C1N2CN(CN3C2)CN1C3;777.46;43.35;0.097;773.92;41.69;0.32
61;CC(C)C[Al](CC(C)C)CC(C)C;545.85;22.5;0.404;719.26;11.02;0.55
62;OCNC(=O)N;705.74;71.21;1.148;839.35;65.46;1.10
63;CC(C)=CC(C)=C;553.64;29.53;0.353;565.81;33.00;0.25
64;Oc1cc(C)on1;695.14;59.19;0.802;715.47;58.51;0.59
65;CC(OCC#N)=O;684.5;37.08;0.52;660.12;38.41;0.53
66;CCCCCON(=O)=O;690.93;34.48;0.582;619.11;27.63;0.65
67;OCCC#CCC;634.6;39.11;0.665;604.55;35.93;0.62
68;CCCCCCCCC(C)CC;648.38;18.69;0.534;651.81;18.45;0.57
69;[NH3+]CCCCCCCC([O-])=O;813.24;16.15;1.055;784.28;22.64;0.88
70;CCCCCCCCCCCCCCC(O)=O;813.24;16.15;1.055;773.55;15.70;0.97
71;CC(C)C(O)C#N;668.9;37.87;0.83;624.10;36.72;0.73
72;ClP(Cl)(Cl)=O;913.61;76.44;0.458;561.75;41.34;0.03
73;NC1CCCC1;582.36;46.69;0.323;584.39;46.52;0.33
74;O=C1CSCC1;733.31;57.02;0.301;733.23;50.35;0.24
75;Brc1sccc1;658.47;62.12;0.304;632.15;44.99;0.43
76;O=C1SCCC1;733.31;57.02;0.301;702.16;50.89;0.24
77;O=Cc1[nH]ccc1;592.27;36.94;0.308;759.42;57.01;0.47
78;CCC1CCCO1;592.27;36.94;0.308;554.86;36.29;0.31
79;N#Cc1sccc1;702.69;45.4;0.393;714.87;45.92;0.28
80;CC1=CC=CNC1=O;764.7;51.95;0.423;759.73;47.50;0.42
81;CC=C1CCCCC1;636.01;31.98;0.31;615.55;32.56;0.29
82;CCOc1ccc(C=O)cc1;739.06;32.17;0.642;742.17;28.34;0.60
83;CCCCCCC1CC(CO1)OC(C)=O;729.79;20.25;0.747;716.35;20.53;0.96
84;CC1=CC(=O)C=C(C)O1;748.68;42.48;0.439;677.31;37.64;0.35
85;Nc1nc(N)cc(N)n1;857.99;69.39;0.892;924.33;56.28;0.65
86;COc1c(C)cccc1C;686.18;33.47;0.441;654.65;33.49;0.40
87;CC(C)C1CCCCC1=O;748.25;30.73;0.396;682.63;31.21;0.39
88;OB(O)O;659.48;37.94;0.126;610.99;51.60;0.16
89;C(C1C2C=CC3C=CC21)=C3;659.48;37.94;0.126;697.72;39.75;0.23
90;CCC=Cc1ccccc1;690.22;29.88;0.38;687.19;29.45;0.40
91;CCCCN1CCOCC1;697.38;29.5;0.374;649.39;28.06;0.43
92;CC1(C)COP(OC)(OC1)=O;752.66;33.9;0.646;676.77;32.48;0.26
93;OCCOC(C)C=C;639.41;34.75;0.789;615.57;34.14;0.63
94;ClCC=CCl;600.68;43.94;0.244;599.14;47.07;0.23
95;CC(C)(C)Cc1ccccc1;670.58;26.5;0.377;674.77;25.38;0.41
96;CCC(=O)Cc1ccccc1;698.84;30.58;0.488;735.26;29.43;0.50
97;CNC(=O)Nc1ccccc1;785.8;40.78;0.752;865.34;38.90;0.67
98;Cc1ccc(cc1)S(=O)(=O)NS(c(cc1)ccc1N(=O)=O)(=O)=O;623.6;14.59;1.148;929.37;40.70;0.87
99;ClCC=C(C)Cl;620.88;37.75;0.265;588.69;39.77;0.31
100;c(nc1)ccc1c1ccccc1;842.58;43.33;0.423;811.18;40.72;0.41
101;c(cn1)ccc1c1ccccc1;832.67;43.33;0.423;803.93;39.52;0.40
102;CCCCC(=O)c1ccccc1;747.98;27.5;0.539;737.51;26.71;0.51
103;CC(=O)c1ccc(C(C)=O)cc1;791.65;31.56;0.736;777.48;32.81;0.62
104;CCCC(OC(C)(C)Cc1ccccc1)=O;750.23;20.67;0.637;726.05;19.08;0.66
105;CC(C(O)=O)Oc(ccc1)cc1Cl;783.79;30.09;0.843;778.82;33.18;0.68
106;CNC(C)CC1CCCCC1;682.36;26.09;0.492;683.16;25.89;0.54
107;COC(=O)Cc1ccccc1;687.52;32.26;0.488;729.84;32.96;0.49
108;CN(C)C(=O)Nc1ccccc1;764.08;35.56;0.695;829.48;32.95;0.53
109;COC(OC)Cc1ccccc1;698.93;28.49;0.503;700.88;29.62;0.58
110;Oc1ccc(Cc2ccccc2)cc1;824;32.48;0.617;845.78;32.64;0.65
111;Nc1ccc(Nc2ccccc2)cc1;867;32.04;0.724;879.07;31.93;0.68
112;C1=Cc2cc3[nH]c(cc(C=C4)nc4cc(cc4)[nH]c4cc1n2)cc3;835.98;22.45;0.908;1017.48;19.28;0.84
113;O=C=Nc(cc1)ccc1Cc1ccc(cc1)N=C=O;835.98;22.45;0.908;803.91;21.61;0.89
114;Nc1ccc(Oc(cc2)ccc2N)cc1;875.45;31.54;0.834;888.31;31.72;0.68
115;C(c1ccccc1)c1ccccc1;769.62;28.69;0.446;779.56;28.99;0.39
116;C(CC1)CCC1NC1CCCCC1;703;29.39;0.455;753.14;25.55;0.52
117;O(c1ccccc1)c1ccccc1;766.8;30.8;0.452;766.84;31.12;0.44
118;Cc1ccc(OC(=O)Cc2ccccc2)cc1;791.18;23.39;0.677;783.63;23.32;0.74
119;CCOC(=O)Cc1ccccc1;702.76;28.96;0.538;716.80;28.57;0.53
120;CCOC(=O)Nc1ccccc1;754.13;33.3;0.652;777.15;30.24;0.61
121;CCCCCOC(C)(C)C;597.96;22.83;0.458;591.57;22.37;0.42
122;CC(C)(C)c1ccc(C(C)(C)C)cc1;715.16;20.8;0.47;713.20;23.92;0.53
123;N=C(c1ccccc1)c1ccccc1;783.52;29.68;0.475;855.24;32.52;0.54
124;CC(C)Nc(n1)nc(SC)nc1NC;1006.95;37.59;0.986;814.31;31.23;0.51
125;CCNc1nc(SC)nc(NCC)n1;1002.29;37.23;1.025;820.46;33.01;0.56
126;CCCS(Cl)(=O)=O;751.34;44.16;0.647;716.09;37.30;0.52
127;CSCC=C;566;41.79;0.253;579.39;41.83;0.08
128;CCOC(OCC)C#C;588.27;30.15;0.543;560.35;26.57;0.50
129;N#CC1(C#N)C2CCC(C1(C#N)C#N)C=C2;867.98;20.81;0.995;875.92;18.55;0.72
130;CCCCCCCCCCCCCCCCCCCCCCC=C;808.48;11.18;1.03;813.30;10.52;0.99
131;CC(=O)CC(=O)Nc1ccccc1;835.48;34.28;0.826;879.72;30.27;0.81
132;O=C(Cc1ccccc1)Cc1ccccc1;787.98;24.81;0.655;820.60;23.65;0.73
133;O=C(Nc1ccccc1)Nc1ccccc1;950.32;34;0.902;923.71;28.13;0.89
134;O=C(Oc1ccccc1)Oc1ccccc1;829.2;27.71;0.659;783.83;25.58;0.67
135;CC(C)COC(=O)Cc1ccccc1;727.38;24.17;0.604;708.18;23.15;0.65
136;O=C(OCc1ccccc1)Cc1ccccc1;793.12;24.75;0.678;785.40;24.05;0.71
137;CCc1cc(CC)cc(CC)c1;685.84;22.65;0.472;676.47;22.99;0.50
138;CCNc(ccc1)cc1C;725.23;34.49;0.482;718.15;29.94;0.47
139;CC(=O)Oc(ccc1)cc1O;764.5;43.48;0.683;781.40;40.98;0.67
140;Clc1ccc(N=C=O)cc1Cl;736.71;34.23;0.538;730.19;35.19;0.51
141;CNCC(C)C1CCCC1;654.73;28.33;0.506;655.92;29.04;0.58
142;COc(ccc1N)cc1C;746.89;36.51;0.577;780.77;37.64;0.51
143;COC(OC)CC(OC)OC;645.17;27.14;0.569;638.55;28.86;0.60
144;CCN(CC)CN(CC)CC;631.32;18.83;0.47;623.74;26.72;0.54
145;COc(ccc1OC)cc1N;764.06;35.57;0.64;796.23;36.55;0.59
146;CCCN(CCC)CCC;611.61;20.77;0.447;577.39;21.96;0.70
147;C=CCN(CC=C)CC=C;619.95;22.89;0.406;598.02;24.59;0.49
148;OCCN(CCO)CCO;739.54;34.28;1.421;811.49;35.93;0.92
149;CC(OCC(COC(C)=O)OC(C)=O)=O;741.96;23.72;0.918;701.18;23.86;0.88
150;CCCCN(CCO)CCO;718.44;25.64;1.162;765.03;30.73;0.78
151;CCCCN(CCCC)CCCC;669.4;17.04;0.577;644.06;17.96;0.70
152;ClC(=O)C=Cc1ccccc1;742.71;33.04;0.489;713.37;31.53;0.46
153;CC(C)NCc1ccccc1;691.98;29.46;0.507;708.49;25.18;0.52
154;CC(C)(C)c(cc1O)cc(C(C)(C)C)c1O;838.21;25.66;0.806;743.42;28.63;0.75
